sample_id,mean_meth_pct,n_regions,Group
SRR13404367,100,1,ALS
SRR13404368,NA,0,ALS
SRR13404369,100,1,ALS
SRR13404370,100,1,ALS
SRR13404371,100,1,Ctrl
SRR13404372,100,1,Ctrl
SRR13404373,66.66666666666666,1,Ctrl
SRR13404374,100,2,Ctrl
SRR13404375,NA,0,ALS
SRR13404376,NA,0,ALS
SRR13404377,NA,0,ALS
SRR13404378,100,1,ALS
SRR13404379,NA,0,ALS
SRR13404380,100,1,ALS
SRR13404381,NA,0,ALS
SRR13404382,100,1,ALS
SRR13404383,NA,0,Ctrl
SRR13404384,100,1,Ctrl
SRR13404385,NA,0,Ctrl
SRR13404386,100,1,Ctrl
SRR13404387,NA,0,Ctrl
SRR13404388,NA,0,Ctrl
